segment_archive,addon,defined_tks,ride_count,rides
${RCT3_PATH}/tracks/coasters/Track27/Track27,Soaked,96,1,SuperSoaker
${RCT3_PATH}/tracks/coasters/Track28/Track28,Soaked,20,1,SeaSerpent
${RCT3_PATH}/tracks/coasters/Track29/Track29,Soaked,58,1,AlpineCoaster
${RCT3_PATH}/tracks/coasters/Track3/Track3,Vanilla,223,8,CompactInverted|Corkscrew|HyperCoaster|InvertedShuttle|InvertedVerticalShuttle|Laydown|RoboCoaster|TiltCoaster
${RCT3_PATH}/tracks/coasters/Track30/Track30,Soaked,34,1,GiantFlume
${RCT3_PATH}/tracks/coasters/Track31/Track31,Soaked,32,1,SkySwinger
${RCT3_PATH}/tracks/coasters/Track32/Track32,Vanilla,99,1,Flyer
${RCT3_PATH}/tracks/coasters/Track33/Track33_CT,Wild,58,1,FrequentFaller
${RCT3_PATH}/tracks/coasters/Track34/Track34,Wild,394,1,Seizmic
${RCT3_PATH}/tracks/coasters/Track35/Track35,Wild,43,1,TowerCoaster
${RCT3_PATH}/tracks/coasters/Track36/Track36,,85,0,
${RCT3_PATH}/tracks/coasters/Track4/Track4,Vanilla,27,3,Dingy|Kart|QuadBikes
${RCT3_PATH}/tracks/coasters/Track5/Track5,Vanilla,340,10,Drifting|Endless|Floorless|Flying|HyperTwist|InvertedRollerCoaster|StandupTwister|Stormrunner|Twister|VerticalDrop
${RCT3_PATH}/tracks/coasters/Track59/Track59,Wild,145,1,RotatingTowerCoaster
${RCT3_PATH}/tracks/coasters/Track6/Track6,Vanilla,105,1,Giga
${RCT3_PATH}/tracks/coasters/Track60/Track60,Wild,45,1,BallCoaster
${RCT3_PATH}/tracks/coasters/Track7/Track7,Vanilla,19,1,Heartline
${RCT3_PATH}/tracks/coasters/Track8/Track8,Vanilla,70,4,InvertedHairpin|ScreamingSquirrel|SpinningWild|WildMouse
${RCT3_PATH}/tracks/coasters/Track9/Track9,Vanilla,35,1,InvertedImpulse
${RCT3_PATH}/tracks/coasters/Track9/Track9_CT,,31,0,
${RCT3_PATH}/tracks/TrackedRides/TrackBased01/TrackBased01,,25,0,
${RCT3_PATH}/tracks/TrackedRides/TrackBased02/TrackBased02,Wild,12,2,CheshireCats|MonsterTrucks
${RCT3_PATH}/tracks/TrackedRides/TrackBased03/TrackBased03,Vanilla,9,2,Ghost|HauntedMansion
${RCT3_PATH}/tracks/TrackedRides/TrackBased04/TrackBased04,,8,0,
${RCT3_PATH}/tracks/TrackedRides/TrackBased05/TrackBased05,,17,0,
${RCT3_PATH}/tracks/TrackedRides/TrackBased06/TrackBased06,,15,0,
${RCT3_PATH}/tracks/TrackedRides/TrackBased07/TrackBased07,,15,0,
${RCT3_PATH}/tracks/TrackedRides/TrackBased08/TrackBased08,,15,0,
${RCT3_PATH}/tracks/TrackedRides/TrackBased09/TrackBased09,Vanilla,7,1,Chair
${RCT3_PATH}/tracks/TrackedRides/TrackBased10/TrackBased10,Vanilla,39,3,LogFlume|Rafts|SplashBoats
${RCT3_PATH}/tracks/TrackedRides/TrackBased11/TrackBased11,Vanilla,18,1,Rapids
${RCT3_PATH}/tracks/TrackedRides/TrackBased12/TrackBased12,,38,0,
${RCT3_PATH}/tracks/TrackedRides/TrackBased13/TrackBased13,,3,0,
${RCT3_PATH}/tracks/TrackedRides/TrackBased14/TrackBased14,,15,0,
${RCT3_PATH}/tracks/TrackedRides/TrackBased15/TrackBased15,Vanilla,12,1,CrazyGolf
${RCT3_PATH}/tracks/TrackedRides/TrackBased16/TrackBased16,Vanilla,3,1,Elevator
${RCT3_PATH}/tracks/TrackedRides/TrackBased17/TrackBased17,Vanilla,3,1,LauncherFreeFall
${RCT3_PATH}/tracks/TrackedRides/TrackBased18/TrackBased18,Vanilla,3,1,RotoDrop
${RCT3_PATH}/tracks/TrackedRides/TrackBased19/TrackBased19,Vanilla,3,1,Observation
${RCT3_PATH}/tracks/TrackedRides/TrackBased20/TrackBased20,Vanilla,3,1,DDObservation
${RCT3_PATH}/tracks/TrackedRides/TrackBased21/TrackBased21,Soaked,126,2,BodySlide|ProSlide
${RCT3_PATH}/tracks/TrackedRides/TrackBased22/TrackBased22,Soaked,40,1,RingSlide
${RCT3_PATH}/tracks/TrackedRides/TrackBased23/TrackBased23,Soaked,112,1,MasterBlaster
${RCT3_PATH}/tracks/TrackedRides/TrackBased24/TrackBased24,,15,0,
${RCT3_PATH}/tracks/TrackedRides/TrackBased25/TrackBased25,Soaked,57,1,LazyRiver
${RCT3_PATH}/tracks/TrackedRides/TrackBased27/TrackBased27,Soaked,41,1,WhiteWaterRapids
${RCT3_PATH}/tracks/TrackedRides/TrackBased28/TrackBased28,,1,0,
${RCT3_PATH}/tracks/TrackedRides/TrackBased29/TrackBased29,Wild,11,1,Aquarium
${RCT3_PATH}/tracks/TrackedRides/TrackBased30/TrackBased30,Soaked,6,1,GiantSlide
${RCT3_PATH}/tracks/TrackedRides/TrackBased31/TrackBased31,Soaked,1,1,SinkingShip
${RCT3_PATH}/tracks/TrackedRides/TrackBased32/TrackBased32,Soaked,3,1,HersheyTower
${RCT3_PATH}/tracks/TrackedRides/TrackBased33/TrackBased33,,15,0,
${RCT3_PATH}/tracks/TrackedRides/TrackBased34/TrackBased34,Wild,1,1,InsectHouse
${RCT3_PATH}/tracks/TrackedRides/TrackBased35/TrackBased35,,1,0,
${RCT3_PATH}/tracks/TrackedRides/TrackBased36/TrackBased36,,15,0,
${RCT3_PATH}/tracks/TrackedRides/TrackBased37/TrackBased37,,7,0,
${RCT3_PATH}/tracks/TrackedRides/TrackBased38/TrackBased38,,1,0,
${RCT3_PATH}/tracks/TrackedRides/TrackBased39/TrackBased39,Wild,1,1,ReptileHouse
${RCT3_PATH}/tracks/TrackedRides/TrackBased40/TrackBased40,Wild,1,1,NocternalHouse
${RCT3_PATH}/tracks/TrackedRides/TrackBased41/TrackBased41,,17,0,
